Title,Price,Link
Lenovo ThinkPad Laptop 14” 4-Core Intel i7 4.6GHz 16GB RAM 512GB SSD Win 11 Pro,$293.23,https://www.ebay.com/itm/286258263660?_skw=laptop&itmmeta=01JXG950JGG1WWACFJWRZMF00F&hash=item42a652766c:g:DmsAAOSwvUdoSOoC&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1fe1PuXBgR3TNBNM%2B3RZcuK0UzXGYrfTA6vF7GlWLvCg2vIa0QM8SBsyn6x7ujJ8OXmccQZq2u9wGP5tqz3vRxzY5tmY3XH3gxOouIB6%2FkqlwUM2xQvq9j4WCH9LVq3mMRmEjy47c1XzLATFPoBqVC9u2jlDpLLhK0kv%2FGp0hylQG86TkrKtOwO46Av9F1slAlYuMEo2JxCgKSvk%2FJyv9aLG7QZca0U6GmAJSPDMDkFyvBlaUI8%2F8a3UGRJwKeWzU42cDMvaJhPoHwq54Qs5LUP%7Ctkp%3ABFBMvomUiexl
"~CLEARANCE~ 15.6"" Lenovo ThinkPad Laptop: Intel i5! 16GB RAM~1TB Storage! Webcam",$189.95,https://www.ebay.com/itm/115839581444?_skw=laptop&itmmeta=01JXG950JG2RYGWBXH0X92WX1J&hash=item1af893bd04:g:l94AAOSwxt1nuJLS&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1fRz%2BvretLgTcmhOgStLFWW9IuKzKzv8yWfiPDrKVJU6nzUhj6EurYkO0bmAUPyD%2FNubQV9M8pzvLy%2B0MvgCRjr4TzwmmR6o%2FTEV5AOwJx7M5ztiDhuiTXZXlpdWhTL%2FhrTncdmZkRbnLz71jU4%2BWlLQuWIRPCCqmYl9R%2FtRkHMiDOTbK1t3xkbuDl%2Fm%2BqPfy9fljulFxFG472rWmTnfdZm%2BmgVAi2DyxyQgT30jozdTqcr%2F3J38%2F2MTE4Q%2BlxsA%2FuHJ8jtjjpIKSlT319N8vA6%7Ctkp%3ABFBMvomUiexl
"HP EliteBook 14"" FHD Laptop AMD Ryzen 5 Pro Up To 32GB RAM 1TB SSD Windows 11 PC",$297.98,https://www.ebay.com/itm/286601719329?_skw=laptop&itmmeta=01JXG950JG78MTMDZJ98QPBK1G&hash=item42bacb2e21:g:aq0AAOSwpEBoNhIb&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1clrSxbOdByX0JaPk%2FQdsMWk7oudHZCgBiljOKRkabKFa%2By9mWzoS8gV3%2FiW6VocVtQbU838WpTTbz7yFZ3YBWPZkoi9fE7jS%2FS89YbxDz76EuZjplpzMIcEByuy70a6L1GFnPTl5Th11fyZshhjqRuJGDeAYHABpKC%2F5gB192JCV8VKjnKfErrD6oeS59I1LTOe6NKO81NNld9y7XKed5qR5eTbaZqwnM3SJtfDITWpV9UsmFDFATrBXiHaXM2XzuNyojacjZXe4dudmzFggDg%7Ctkp%3ABFBMvomUiexl
"14"" HP ProBook Laptop: Intel i5 Quad Core! 16GB RAM! 512GB SSD! Windows 11 Pro!",$289.95,https://www.ebay.com/itm/116159603280?_skw=laptop&itmmeta=01JXG950JGSYTHAXMYZMN0JBP4&hash=item1b0ba6e250:g:z2kAAOSwqBVnitIY&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1c38DZ8SeCqxD94IOuYLmPGvpU1TMtenFB4qrYSjzrJe9vZ2DE6Ws%2FTkcs8P%2BNwWWmwo%2BXVujegRIY3EGlffIIfWqSjLTM4ktXFO0i%2BCWgx4nTvfQxTQuW866YQP68g7TKiK0UwfhXdHoXQQuNp3X8yglE%2FbJ2kTcZW7RQLPgLXptWcymq%2FtHZcQj7LTiq1NefKO9AlrR%2FritU4warybCqJzvmAoBy%2BO5%2F%2B%2BZLrahXhLztUCtZAS46NcXg52j442Mb9fE40HLlvUGJp0i13avX8%7Ctkp%3ABFBMvomUiexl
"~CD/DVD DRIVE~ 14"" Dell Latitude Laptop PC: intel i5 ! 16GB RAM~750GB Storage!",$146.95,https://www.ebay.com/itm/116368393379?_skw=laptop&itmmeta=01JXG950JGPPK0RDVFZ5R2AVEZ&hash=item1b1818c4a3:g:4l8AAOSwOjFnGQDZ&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1caD7aMTg%2BWPL6qykwxQK%2FiTgel9biskLeTyILquSSvuS%2FAptBH2HtHVeE8uXk5PJ%2B%2FmS7r8TZRgsXx5DzA3WMa5yOkQupZGQ4lCEq%2BPMCTqzUw6%2BA8UwRC3s781gLNHHCOhgyaVJq7zpfOxbHCDTGB6XGaOOWkPv5eoyxshktlNLNxDBBD%2Ba5u%2Fa2oMIEqQrGwM1d1cjP2hXuKvVsycYVgUgv85KuWt46dFgc%2F9IWxbWKYOgMDhsI9FLhvxp7y3uT42A9r5Vg9xWamqE4j9y8W%7Ctkp%3ABFBMvomUiexl
"SGIN 17.3"" Laptop 4GB RAM 256GB SSD Notebook with IPS Full HD Up to 2.6GHz BLACK",$209.99,https://www.ebay.com/itm/315367574262?_skw=laptop&itmmeta=01JXG950JG7WH10N8G9A68QDRW&hash=item496d5f4af6:g:H~IAAOSwDYxn1~ZH&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1dJAqJo99imZ8z3cn%2BwRrfMXKT%2FjMw1zK5oaiycT%2B%2BY9IPatQKnZnaJnGA93IVn6YqGi5%2FyazhoMbp8GSeBF1icsNV%2FwZZS3JIaZVBFR1GGBCuWe04z5AEFyR3brQIevYILoxiJ77rsIBSlrjWIMACxgoJ0HX8qOoLLWNlDJ%2BaTnx6VHORUPhPDIJeGealmHz9%2Bm5wqy6L6W8thy41s%2FhO4KYyLddqJiN5tzcrttf9X7NVCiztCL%2FbMYvlpoA7iDre%2BNlD0cWMnHUAMwJeAcLts%7Ctkp%3ABFBMvomUiexl
2025 Lenovo IdeaPad Laptop Notebook 15.6 Intel Processor Upto 20GB RAM 1TB SSD,$239.00 to $349.00,https://www.ebay.com/itm/146493392451?_skw=laptop&itmmeta=01JXG950H66QWEJAKZB6DFGJBZ&hash=item221bafc643:g:OrUAAOSweZ1n7bDV&itmprp=enc%3AAQAKAAAAwFkggFvd1GGDu0w3yXCmi1f2%2BKAwVTuHdidrUPVIG3zC4p4oo360cfZrvZdDaGOrONXFHxxTm6NKRrLOdykfDf9fdueRBBMY9zsW4YDzDnEtQoTKSyd5dgZVouVmZvUP52IJ8hJeQP%2FMOJlvTee0yPJ78WywoWYwVT598yLzXUNN2sWgk%2BxdteB1wJsV5CIGZzvzOlQTOJ%2BLk%2B3rJdzg5jAb6r7gBa60w9HwOacNKen8tqRxT6xQ3fu4PDfDBh1i7g%3D%3D%7Ctkp%3ABk9SR4CJlInsZQ
Acer Aspire 3 Laptop 15.6in 1TB AMD Ryzen 5 7520U 2.8GHz Certified Refurbished,$275.99,https://www.ebay.com/itm/266889342994?_skw=laptop&epid=18068847248&itmmeta=01JXG950H63KA2XM9QXAS44VDG&hash=item3e23d83012:g:fNUAAOSwN91njmwe&itmprp=enc%3AAQAKAAAAwFkggFvd1GGDu0w3yXCmi1erO02AHednCyST8iQIx6ODZbNOofCVb4BLYggylXlbsw1WsAVtuJafZJi63UmWQGZl%2B6JuyGJXm0zu5OLJCE52quocOiAySVq9E3ogsJmlKXIhecz2fbPNUJ9G673MlpjEDOw51EC0VBbllOFcogNguFemlMZCbz646Tei3G3%2FRXrQy3yDuF0oFfi0sDX1DBb7Ia79TQI%2F7FgUwuz4McmbdRDTFFWMsfawItOwAPtYog%3D%3D%7Ctkp%3ABk9SR4CJlInsZQ
"HP 15 Laptop 15.6"" HD Pentium Quad-Core N200 16GB 128GB SSD Webcam Win 11 Red",$229.00,https://www.ebay.com/itm/305542356538?_skw=laptop&itmmeta=01JXG950H6M2HT4X7QYWBT2EPT&hash=item4723be5e3a:g:E9YAAOSwFklmMoOx&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1eqUOXt1g%2FoxUN2k4heBS07srghgsW85eYKQ0Dzz0m6EU2%2BPwTKDbSdl%2Bs5bNRZqyfwbAHBvACH%2BmzDCP0%2B8UAOquCiGEHEeVeNnAy3Vv911LyFCMpfv8tqARMNLAQl99dcQ5QI%2B8XNMXjBMe0RRvXvA7yaP48eTRlwLEcZQnL9LYRSI80OjTSPug9x%2FOE0GDHw6zLqyUMWVgicCeIvRlfOD%2Bu1P4J%2BWFJv%2BzxUREvUJU9mLYFkIMr1iqQDx66lEVIVglpYXFk8tfAcClybRBkx%7Ctkp%3ABk9SR4CJlInsZQ
"Lenovo LOQ 15.6"" FHD 144Hz Gaming Laptop i5-12450HX 12GB RAM 512GB SSD RTX 3050",$559.99,https://www.ebay.com/itm/126480962681?_skw=laptop&itmmeta=01JXG950H6MHD2R1MWRBJBXEQ9&hash=item1d72da5479:g:posAAeSwX8JoE6JX&itmprp=enc%3AAQAKAAAAwFkggFvd1GGDu0w3yXCmi1eMW%2FP54m4YDOCe0qMWR2HfPXMzXvSI7C8PxHcnrVHrhWsV1EA0mHNTMbH67e%2FqViKnGhC5AoFihUY9fz0mCX%2FBx9V0H%2Bn1eeA3r3N8p86rlOTOU1khrT%2BNMrZrMO79YL35PyYHpdo1sFDJj49mwuousLE7s%2FqZvGlbF8Rv0kIEItCd1Zo0we060rMuYIANk7BQ1st6%2FefJklwAh%2F0n353AdjBEUqcfWKvzbfmIiWh3DA%3D%3D%7Ctkp%3ABk9SR4CJlInsZQ
